Areas,Description,Population,province,District
Kalutara,"Kalutara is a coastal town on Sri Lankas southwest coast, sitting at 5 meters above sea level. It is famous for the Kalutara Bodhiya, a sacred Buddhist site and one of the most important temples in the country.

Visitors can relax on the golden beaches or explore the Richmond Castle, a beautiful colonial-era mansion surrounded by gardens. Kalutara is a great destination for beach lovers and those interested in Sri Lankan culture and history.
",85000,Western,Kalutara
Deniyaya,"Deniyaya is a charming hill town located at 515 meters above sea level, surrounded by rolling hills and tea plantations. It is best known as a gateway to the Sinharaja Forest Reserve, a UNESCO World Heritage Site and Sri Lankas most famous rainforest.

Visitors can take guided tours through the forest to see rare plants, birds, and wildlife. Deniyaya also offers scenic views, cool weather, and peaceful surroundings, making it a perfect destination for nature lovers and eco-tourists.",86000,Southern,Matara
Monaragala,"Monaragala is a rural town in Sri Lankas Uva Province, sitting at 151 meters above sea level. It is surrounded by natural beauty, with lush greenery, waterfalls, and scenic landscapes.

The town is a great base for exploring nearby attractions like the Yudaganawa Temple, an ancient Buddhist site, and the Gal Oya National Park, where visitors can go on boat safaris and spot elephants and other wildlife. Monaragalas calm and natural setting makes it a great destination for eco-tourism and cultural exploration.",87000,Uva,Monaragala
Tissamaharama,"Tissamaharama, or Tissa, is a historic town in southern Sri Lanka, located just 20 meters above sea level. It is famous for its ancient Tissa Dagoba, a massive Buddhist stupa, and the nearby Tissa Wewa, a man-made lake built over 2,000 years ago.

The town is also a gateway to Yala National Park and Bundala National Park, where visitors can enjoy thrilling safaris and see leopards, elephants, and birds. Tissamaharamas mix of history, wildlife, and serene surroundings makes it a favorite among travelers.",88000,Southern,Hambantota
Sella Kataragama,"Sella Kataragama is a sacred village in southern Sri Lanka, sitting at 100 meters above sea level. It is a peaceful spot with deep spiritual significance, known for its ancient Kataragama Temple, where people of different faiths come to pray.

The village is surrounded by natural beauty, including rivers, forests, and small waterfalls. Sella Kataragama offers a unique mix of spirituality and nature, making it an ideal place for quiet reflection and exploration.
",89000,Uva,Monaragala
Colombo,"Colombo, the capital city of Sri Lanka, is located just 5 meters above sea level. It is a vibrant city that combines modern buildings with old, historical landmarks. Visitors can take a walk along Galle Face Green, a large seaside park where you can enjoy the ocean breeze and delicious street food, or visit the beautiful Gangaramaya Temple, a peaceful place filled with art and culture.

For shopping and food lovers, Colombo offers everything from local markets like Pettah Market, where you can buy fresh produce, spices, and souvenirs, to large malls like One Galle Face and Colombo City Centre, where you can shop and enjoy fine dining.

If you love history, visit the National Museum to see ancient treasures or the Independence Square, a peaceful place built to celebrate Sri Lankas independence. In the evenings, enjoy the citys nightlife with rooftop bars, cozy cafes, and live music. Colombo is full of energy, culture, and things to do, making it a great place for every traveler.",90000,Western,Colombo
Gampaha,"Gampaha is a peaceful town near Colombo, sitting just 3 meters above sea level. It is known for its green landscapes and quiet surroundings, making it a relaxing escape from the busy city. One of its main attractions is the Henarathgoda Botanical Garden, a beautiful garden filled with rare plants, colorful flowers, and shaded walking paths.

For those interested in history, Gampaha is home to ancient temples like the Maligatenna Raja Maha Vihara, offering a serene and spiritual experience. Visitors can also enjoy fresh fruits and local delicacies from roadside vendors. With its calm atmosphere and natural beauty, Gampaha is a great spot for families and nature lovers.",91000,Western,Gampaha
Dodanduwa,"Dodanduwa is a charming coastal village on Sri Lankas southern coast, sitting just 4 meters above sea level. It is famous for its quiet beaches and the Dodanduwa Lagoon, a peaceful place to go boating and spot birds and wildlife.

Visitors can also explore Seenigama Temple, a small island temple with a fascinating history. Dodanduwa is ideal for travelers looking to relax by the sea, enjoy fresh seafood, and experience the simple beauty of coastal life.",92000,Southern,Galle
Horton Plains,"Horton Plains is a stunning plateau in Sri Lankas central highlands, located at 2,100 meters above sea level. It is a UNESCO World Heritage Site and one of the countrys best spots for nature lovers and hikers. The highlight of Horton Plains is Worlds End, a breathtaking cliff with views that stretch for miles on clear days.

Visitors can also see the beautiful Bakers Falls, a cascading waterfall surrounded by lush greenery. With its cool weather, misty landscapes, and rare wildlife, Horton Plains is a must-visit destination for those who love the outdoors.",93000,Central,Nuwara Eliya
Sinharaja,"Sinharaja is Sri Lankas most famous rainforest, located at around 300 meters above sea level. It is a UNESCO World Heritage Site known for its rich biodiversity and incredible natural beauty. Visitors can take guided tours to see rare birds, colorful butterflies, and unique plants found only in this forest.

The forest is perfect for hiking, with trails that lead to hidden waterfalls and scenic viewpoints. Sinharaja is a paradise for nature lovers and eco-tourists looking to experience Sri Lankas untouched wilderness.",94000,Southern,Galle
Chilaw,"Chilaw is a quiet coastal town on Sri Lankas west coast, sitting just 2 meters above sea level. It is famous for its beautiful beaches and the Munneswaram Temple, a historic Hindu temple with stunning architecture.

Visitors can also enjoy fresh seafood at local restaurants or relax by the calm waters of the coast. Chilaw is a peaceful destination, perfect for a laid-back beach holiday and cultural exploration.",95000,North Western,Puttalam
Matale,"Matale is a colorful town in central Sri Lanka, located at 364 meters above sea level. It is surrounded by spice gardens, where visitors can learn about Sri Lankas famous spices like cinnamon, cloves, and cardamom.

One of the main attractions is the Nalanda Gedige, an ancient stone temple located in a serene setting. Matale is also close to popular destinations like Knuckles Mountain Range and Aluvihara Temple, making it a great base for exploring Sri Lankas central region.",96000,Central,Matale
Kurunegala,"Kurunegala is a historic town located at 116 meters above sea level, surrounded by large rocky hills. The town is best known for the Elephant Rock, which offers panoramic views of the area after a short hike.

Visitors can explore ancient temples like the Ridi Viharaya, known for its beautiful architecture and peaceful surroundings. Kurunegalas blend of history, culture, and scenic beauty makes it a charming place to visit.",97000,North Western,Kurunegala
Ambalangoda,"Ambalangoda is a coastal town on Sri Lankas southwest coast, sitting just 3 meters above sea level. It is famous for its traditional mask-making, where colorful wooden masks are crafted and used in cultural dances. Visitors can see these masks at the Ariyapala Mask Museum and even buy one as a souvenir.

The town also has quiet beaches and delicious seafood, making it a relaxing destination. Ambalangodas unique art and coastal charm make it a must-visit for travelers looking to explore Sri Lankas traditions.",98000,Southern,Galle
